Time,Mass1_x,Mass1_y,Mass2_x,Mass2_y,Mass1,Mass2
0.0,54545.454545454544,0.0,-45454.545454545456,-0.0,10,12
0.001,54437.821550632994,3424.9374288716385,-45364.851292194166,-2854.114524059699,10,12
0.002,54115.34734442605,6836.358194416595,-45096.12278702171,-5696.96516201383,10,12
0.003,53579.30458520119,10220.798977403161,-44649.42048766767,-8517.332481169302,10,12
0.004,52831.80878883443,13564.902936264809,-44026.507324028695,-11304.085780220676,10,12
0.005,51875.809979735655,16855.47242045168,-43229.841649779715,-14046.227017043066,10,12
0.006,50715.08104845007,20079.52105552789,-42262.56754037506,-16732.93421293991,10,12
0.007,49354.20286178287,23224.324994458508,-41128.50238481906,-19353.60416204876,10,12
0.008,47798.54618421073,26277.473132820833,-39832.12182017561,-21897.894277350693,10,12
0.009000000000000001,46054.250481928095,29226.916089763447,-38378.54206827341,-24355.76340813621,10,12
0.01,44128.199693178954,32061.01376140762,-36773.4997443158,-26717.511467839682,10,12
0.011,42027.995060497604,34768.58125901944,-35023.32921708134,-28973.817715849535,10,12
0.012,39761.925132077,37338.933050655745,-33134.93761006417,-31115.77754221312,10,12
0.013000000000000001,37338.93305065575,39761.92513207699,-31115.77754221313,-33134.93761006416,10,12
0.014,34768.58125901944,42027.995060497604,-28973.817715849535,-35023.32921708134,10,12
0.015,32061.013761407627,44128.19969317895,-26717.51146783969,-36773.49974431579,10,12
0.016,29226.916089763447,46054.250481928095,-24355.76340813621,-38378.54206827341,10,12
0.017,26277.47313282084,47798.54618421073,-21897.8942773507,-39832.12182017561,10,12
0.018000000000000002,23224.324994458508,49354.20286178288,-19353.60416204876,-41128.50238481907,10,12
0.019,20079.521055527886,50715.081048450076,-16732.934212939905,-42262.567540375065,10,12
0.02,16855.472420451682,51875.809979735655,-14046.22701704307,-43229.841649779715,10,12
0.021,13564.902936264807,52831.80878883443,-11304.085780220672,-44026.507324028695,10,12
0.022,10220.798977403156,53579.3045852012,-8517.332481169296,-44649.420487667674,10,12
0.023,6836.358194416595,54115.34734442605,-5696.96516201383,-45096.12278702171,10,12
0.024,3424.9374288716463,54437.821550632994,-2854.114524059705,-45364.851292194166,10,12
0.025,3.339945815856418e-12,54545.454545454544,-2.7832881798803484e-12,-45454.545454545456,10,12
0.026000000000000002,-3424.937428871628,54437.821550633,2854.11452405969,-45364.851292194166,10,12
0.027,-6836.35819441659,54115.34734442605,5696.965162013825,-45096.12278702171,10,12
0.028,-10220.798977403161,53579.3045852012,8517.332481169302,-44649.420487667674,10,12
0.029,-13564.9029362648,52831.80878883443,11304.085780220668,-44026.507324028695,10,12
0.03,-16855.472420451675,51875.809979735655,14046.227017043064,-43229.841649779715,10,12
0.031,-20079.521055527894,50715.081048450076,16732.934212939912,-42262.567540375065,10,12
0.032,-23224.324994458515,49354.20286178288,19353.604162048763,-41128.50238481907,10,12
0.033,-26277.473132820818,47798.54618421075,21897.894277350682,-39832.12182017562,10,12
0.034,-29226.916089763436,46054.25048192811,24355.763408136198,-38378.542068273426,10,12
